Text,Label
"Purchase order number . . Respective on bill has been received from and Challan / Receipt , proof / Bill has been verified as per / Contract has been attached measurements for finished TDS applicat : licyna . Aon i Finished goods / Spares / Documents , . i . vact greement by the Store in chargel Admin . Also for finished goods ( as per SAP SDC ) / spares applicat : licyna . Aon checked with its order number . Bus / Enabling Documents / Bill has been Agreement / Contract has including cozy PAN , Service ",Checklist
order number . . Bus / Enabling functions have submitted Approval on bill has been given by Cost Center Manager / Original bill has been received from the user along Documents / Bill has been Agreement / Contract has been Security & House Keeping Expense - Bill verified We certified that all above points have been verified Invoice No . Supplier ' s Ref . Other Reference ( s ) Description of Goods Amount THSN / SAC GST Rate ,Invoice
State Tax HSN / SAC ,Invoice
Bill No . Date S . NO PARTICULARS QTY 1 RATE AMOUNT Salary Total Allowances Holiday ( single ) EPF salary Limit Total Salary + Allces + OT ESI on Salary + Allces ,SGB
DETAILS OF MUSTER ROLL - HCL FOR THE MIO OCT . 2017 S . NO NAME OF EMPLOYEE Deg . PF No SALARY RATE Earning Salary Actual Signature or Thumb Wage Paid Impression of the Employee Adv For PF For ESIC Fine. Bonus Sal . ED Holiday Amount Due Rate Spl Alice Total Basic + DA & Uniform Wages Total Wages Bonus Sal . PM ED Holiday ( Single ) Amount Due Bishan Singh Sr . Guard ( Head ) Balak Singh Sr . Guard Vikram Singh Karki Sr . Guard Gopal Singh Bora Sid . Surendra Singh Deopa S / Gd . Bir Bahadur s / Gd . Manju Devi L/GO ,Junk
Transaction Details Transaction status : Employer ' s Code No : Employer ' s Name : Challan Period : Challan Nunabor : Chalfan Created Date Challan Submitted Date Amount Paid : Transaction Number : ,Transdetails
"SI . COMPANY No . ( a ) AUTO LIV INDIA P . LTD . 1 2 IF8 AUTOMOTIVE RUDRAPUR 3 DANA INDIA PVT . LTD . PANTNAGAR 4 5 JP SOFTCOM INTER PUMP HYDRAULIC INDIA 6 INTER PUMP HYDRAULIC INDIA ( 8 ) UNIVERSAL CONSTRUCTION 8 HC ! PANTAJAR 9 SHIVANI LOCKS - Pantnagar 19 DELPHI TVS 11 ML Ltd - SHIV SHAKTI - Tractor Yard 12 ML Ltd - Ware House , Simla Pistor 13 VOSS AUTOMOTIVE INDIA PVT . LTD 14 HARITA SEATING LTD . PANTNAGAR 15 LUCAS . TVS , Pantnagar Total Salary - EPFTOTAL Gross EPF Amt . as per Bill Summary G . TOTAL EPS amount after deduction of more than on Total EPS Amount STR . For EPF A / CNO Dift EPF A / C NO EPS As per challan TRRN > ",Junk
Code & Name : TRRN : Dues Total Subscribers Total Wages : EPF EDLI EPS PARTICULARS Administration Charges Employer ' s Share Of Contribution Employee ' s Share Of Contribution Grand Total : Amount Received Rs . Date of presentation of Cheque / DD Date of Realisation of Cheque / DD SBI Branch Name SBI Branch Code Cheque / DD Cheque / DD drawn bank & Name of the Depositer - - S Date of Deposit Mobile No . Total remittance Total amount of uploaded ECR ,Epfslip
"ESI CODE NO Company Name 1 AUTO LIV INDIA P . LTD . ( a ) 2 IFB AUTOMOTIVE RUDRAPUR 3 DANA INDIA PVT . LTD . PANTNAGAR 4 IP SOFTCOM 5 INTER PUMP HYDRAULIC INDIA 6 ( INTER PUMP HYDRAULIC INDIA ( B ) 7 UNIVERSAL CONSTRUCTION 8 KCL PANTNAGAR 9 SHIVANI LOCKS - Pantnagar 10 DELPHI TVS 11 ML Ltd - SHIV SHAKTI - Tractor Yard 12 ML Ltd - Ware House , Simla Pistor 13 VOSS AUTOMOTIVE INDIA PVT . LTD 14 HARITA SEATING LTD . PANTNAGAR 15 LUCAS - TVS , Pantnagar TOTAL Bll No . Gross O.T + TOTAL 4 . 75 % 1 . 75 % Salary Allows . ( c + d ) Total ( 6 . 50 % ) Total Deposit Amount ( As per challan ) ",Junk
"Challan Generated on : Form GST PMT Payment Challan Challan for deposit of goods and services tax Expiry Date : Details of Taxpayer Mobile No . : E - mail Id : Address : : GSTIN : Details of Deposit M Government Of Indla Major Head Minor Head Fee Tax Interest Penalty Others Total CGST IGST CESS Sub - Total Total Amount Mode of Payment EPayment Over the Counter NEFT / RTGS Name Designation / Status ( Manager , partner etc ) Signature Date Particulars of depositor Paid Challan Information Taxpayer Name Name of the Bank Amount Bank Reference No . ( BRN ) / UTR CIN Payment Date Bank Ack No . Taxpayer Name Name of the Bank Amount Bank Reference No . ( BRN ) / UTR CIN Payment Date Bank Ack No . ",ChallanDep
